A,B,C,uot_weight,final_weight
-1.9112867484047782,0.1701761194098288,0.9273421706468399,1.5327236710574013,7.909219838927066
-1.9112867484047782,0.11681253106277222,0.9262069160169567,1.5572863274549742,8.035969006402512
-1.9112867484047782,0.06353021804700033,0.9235593332529372,1.7732655247668774,3.597159814637121
-1.9112867484047782,1.664164389187827,-0.6261810414468526,1.979272909763124,1.57183752806956
-1.9112867484047782,1.6766261418175494,-0.04616760937441851,1.8870792773197327,4.669134732311214
-1.9112867484047782,1.6706217579838587,-0.025038327324948824,1.8711054408684193,2.1300220659213127
-1.9112867484047782,0.3301043634986413,0.9216693549610117,1.4396220478077888,3.5434765142678146
-1.9112867484047782,0.30351397761279886,0.9235593332529372,1.4494567296339678,3.5676835373051663
-1.886365218830462,1.4160605336230858,-1.0834431871112418,1.9934320560172822,2.4307731269464994
-1.886365218830462,1.6876175842753864,-0.6311086983376841,2.0022771242613673,1.5901063011496852
-1.886365218830462,1.6941772370133328,-0.02044395622018956,1.8721734356949915,2.1312378459074104
-1.886365218830462,1.6876175842753864,0.0009302593038046916,1.8687510920474266,2.1273419310502057
-1.8610558625936626,1.4349039264126715,-1.0951899977520787,2.0034902302791506,2.443037974212346
-1.835366389169467,1.4533661361748629,-1.1066991821388594,2.010074891834381,2.4510672513126996
-1.835366389169467,1.7399006794461112,-0.6186525974680525,2.0483565274719067,1.6267002114083986
-1.835366389169467,1.7519928926121033,-0.574339618099183,2.0496584630735333,1.6277341422158538
-1.835366389169467,1.7259122587201619,0.03241729258736278,1.878291511073704,2.1382025178457176
-1.835366389169467,1.09011383534798,0.7565727982839179,1.1565637851521307,0.41314909663933397
-1.835366389169467,1.043525667253121,0.781624598214146,1.1251377872677875,0.20554701056457805
-1.809304623820339,1.4884928167289293,-1.099583958365577,2.010264724839519,2.451298731972452
-1.809304623820339,1.7797252609148406,-0.5554344352083324,2.0574976047919287,1.6339595884795046
-1.809304623820339,1.7230183224851021,0.10339480481151823,1.8541007288557638,2.110664304984664
-1.809304623820339,0.9829160679673707,0.8327979825199718,1.089266963321422,0.19899391039133776
-1.809304623820339,0.9078737945959133,0.8652140807753292,1.0768664987535979,0.1967285181430535
-1.809304623820339,0.3954166119424851,0.9924990150464651,1.2607679059712926,0.9355745288892047
-1.782878505212471,0.9178191188144547,0.8814196050393427,1.058983391190662,0.19346152334404984
-1.782878505212471,0.8920038666756083,0.8916487313044202,1.059064589303926,0.19347635710897523
-1.782878505212471,0.8132950283769061,0.920118702880691,1.0680976967356668,1.332817340289174
-1.782878505212471,0.42676849455583765,1.00720463678369,1.2011936707857382,0.8913664420925146
-1.7560960829975856,1.8326701815973634,-0.5153237055633714,2.066206822591479,1.640876004760422
-1.7560960829975856,1.7553425976852213,0.13711233102464002,1.8477795712978664,2.103468449109092
-1.7560960829975856,1.7453890033478794,0.15932979386148785,1.830134095688433,2.0833812580877646
-1.7560960829975856,0.6849381128819905,0.9768922721039611,1.0772665799392127,0.6604722273739587
-1.7560960829975856,0.4299889303219427,1.0247110109189228,1.184810364447045,0.8792089275834019
